epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,2.94054,1.63975,0.32,1,1.56161,5.555e-05,5.555e-05,5.555e-05
2,5.71866,1.49785,0.44,1,1.36712,0.000110111,0.000110111,0.000110111
3,8.00032,1.26643,0.52,1,1.17316,0.000151474,0.000151474,0.000151474
4,10.2718,1.02973,0.68,1,1.02953,0.000179638,0.000179638,0.000179638
5,12.5607,0.85353,0.76,1,0.89596,0.000194603,0.000194603,0.000194603
6,15.2036,0.73991,0.72,1,0.80137,0.000196369,0.000196369,0.000196369
7,18.5423,0.61211,0.72,1,0.73189,0.000184937,0.000184937,0.000184937
8,21.3819,0.56191,0.72,1,0.65495,0.000160306,0.000160306,0.000160306
9,24.5812,0.38178,0.72,1,0.60897,0.000122477,0.000122477,0.000122477
10,27.442,0.39832,0.76,1,0.59227,7.14484e-05,7.14484e-05,7.14484e-05
